url,brand,name,sizes,image_article,status
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-technician-jogger-pants-ink-blue-FS526765,black-diamond,Black Diamond W Technician Jogger Pants Ink Blue | Fjellsport.no,S;M;L;XL,750165-4014-w-technician-jogger-pants-ink-blue-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-technician-jogger-pants-fig-FS590771,black-diamond,Black Diamond W Technician Jogger Pants Fig | Fjellsport.no,M;L,750165-6052-women-s-technician-jogger-pants-fig-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-dirtbag-pants-black-FS526768,black-diamond,Black Diamond Men&#x27;s Dirtbag Pants Black | Fjellsport.no,S;M;L;XL,751129-0002-M%20DIRTBAG%20PANTS-Black-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-dirtbag-pants-off-white-FS526769,black-diamond,Black Diamond Men&#x27;s Dirtbag Pants Off White | Fjellsport.no,S;M;L;XL,751129-1024-m-dirtbag-pants-off-white-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-dirtbag-pants-pine-smoke-FS526770,black-diamond,Black Diamond Men&#x27;s Dirtbag Pants Pine Smoke | Fjellsport.no,S;M;L;XL,751129-3060-M%20DIRTBAG%20PANTS-Pine%20Smoke-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-first-light-hybrid-vest-black-FS526795,black-diamond,Black Diamond M First Light Hybrid Vest Black | Fjellsport.no,S;M;L;XL,752267-0002-M%20FIRST%20LIGHT%20HYBRID%20VEST-Black-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-traverse-pro-ski-poles-foam-green-FS526807,black-diamond,Black Diamond Traverse Pro Ski Poles Foam Green | Fjellsport.no,140 cm;155 cm,black-diamond-traverse-pro-ski-poles-foam-green,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-traverse-3-ski-poles-sulphur-green-FS526808,black-diamond,Black Diamond Traverse 3 Ski Poles Sulphur Green | Fjellsport.no,125 cm;140 cm,black-diamond-traverse-3-ski-poles-sulphur-green,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-traverse-compactor-ski-poles-creek-blue-FS526809,black-diamond,Black Diamond Traverse Compactor Ski Poles Creek Blue | Fjellsport.no,125 cm;135 cm,black-diamond-traverse-compactor-ski-poles-creek-blue,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-ice-screwup-envy-green-P398-6522,black-diamond,Black Diamond Ice Screwup Envy Green | Fjellsport.no,One Size,400155_3011_ICE%20SCREWUP_Envy%20Green_01_,ok
